x;y
4618611.194815952;5824977.954444036
4618611.194815952;5824977.954444036
4618611.194815952;5824977.954444036
4619773.302935649;5823408.498103379
4619773.302935649;5823408.498103379
4592691.933620497;5843847.450200892
4592691.933620497;5843847.450200892
4650429.075575516;5902685.035638716
4650429.075575516;5902685.035638716
4556510.164373589;5791583.739843302
4556510.164373589;5791583.739843302
4583587.774062512;5801371.787522153
4583587.774062512;5801371.787522153
4581369.505880129;5806105.567391314
4581369.505880129;5806105.567391314
4581379.36293487;5804212.80172878
4581379.36293487;5804212.80172878
4636729.121715143;5825619.634776417
4636729.121715143;5825619.634776417
4580643.57376692;5835092.826955732
4580643.57376692;5835092.826955732
4586430.080209891;5851863.419031772
4586430.080209891;5851863.419031772
4592836.670009709;5847333.550495365
4592836.670009709;5847333.550495365
4577449.619383262;5826522.544385463
4577449.619383262;5826522.544385463
4573060.072751538;5825102.182687446
4573060.072751538;5825102.182687446
4585087.742531197;5836957.725084249
4585087.742531197;5836957.725084249
4584374.054057426;5841977.638191749
4584374.054057426;5841977.638191749
4584374.054057426;5841977.638191749
4584374.054057426;5841977.638191749
4609767.95955382;5827902.559945831
4609767.95955382;5827902.559945831
4609767.95955382;5827902.559945831
4626386.859446254;5805709.740942831
4626386.859446254;5805709.740942831
4534690.830766688;5808607.006162622
4534690.830766688;5808607.006162622
4609938.861077992;5803273.92689596
4609938.861077992;5803273.92689596
4555016.902747887;5867821.80182214
4555016.902747887;5867821.80182214
4597921.196126707;5821085.47048788
4597921.196126707;5821085.47048788
4592250.66429412;5825292.471848321
4592250.66429412;5825292.471848321
4594658.411746403;5819657.661517514
4594658.411746403;5819657.661517514
4598198.080041962;5819714.93424232
4598198.080041962;5819714.93424232
4598198.080041962;5819714.93424232
4577984.786072353;5822532.800997743
4577984.786072353;5822532.800997743
4592313.86269248;5810862.66136291
4592313.86269248;5810862.66136291
4592440.174118006;5819866.0139159085
4592440.174118006;5819866.0139159085
4592440.174118006;5819866.0139159085
4592440.174118006;5819866.0139159085
4598083.749682756;5823631.712726406
4598083.749682756;5823631.712726406
4598083.749682756;5823631.712726406
4596501.197478233;5820821.497115732
4596501.197478233;5820821.497115732
4595201.614708557;5821426.278594034
4595201.614708557;5821426.278594034
4595201.614708557;5821426.278594034
4603237.622410526;5814702.54998946
4603237.622410526;5814702.54998946
4604084.866931949;5813950.443186377
4604084.866931949;5813950.443186377
4604084.866931949;5813950.443186377
4604084.866931949;5813950.443186377
4595430.273795268;5821900.778746304
4595430.273795268;5821900.778746304
4595215.9521634085;5818259.129927418
4595215.9521634085;5818259.129927418
4597298.104261208;5833200.654456611
4597298.104261208;5833200.654456611
4600229.072935491;5830269.505287326
4600229.072935491;5830269.505287326
4602495.123290124;5808608.805775893
4602495.123290124;5808608.805775893
4599025.284348892;5821904.888089139
4599025.284348892;5821904.888089139
4604794.5029564155;5813247.226560173
4604794.5029564155;5813247.226560173
4604794.5029564155;5813247.226560173
4604794.5029564155;5813247.226560173
4593767.5722993715;5821465.348618391
4593767.5722993715;5821465.348618391
4591593.928200894;5824515.9691419
4591593.928200894;5824515.9691419
4594461.350901444;5821554.021807731
4594461.350901444;5821554.021807731
4595644.186872741;5821682.179688853
4595644.186872741;5821682.179688853
4589787.118732915;5813658.355459629
4589787.118732915;5813658.355459629
4589787.118732915;5813658.355459629
4589787.118732915;5813658.355459629
4584648.45087788;5811524.20138675
4584648.45087788;5811524.20138675
4595849.804510873;5820253.356658785
4595849.804510873;5820253.356658785
4601863.904428979;5825091.5120074395
4601863.904428979;5825091.5120074395
4626538.599971773;5899186.6704436755
4626538.599971773;5899186.6704436755
4588872.892862246;5820600.553002289
4588872.892862246;5820600.553002289
4606581.858149137;5825086.655210179
4606581.858149137;5825086.655210179
4591560.551241804;5831150.363756259
4591560.551241804;5831150.363756259
4591560.551241804;5831150.363756259
4591560.551241804;5831150.363756259
4590604.645917627;5821676.596027876
4590604.645917627;5821676.596027876
4579245.944302569;5824721.696357833
4579245.944302569;5824721.696357833
4588266.6324522225;5828653.1827588
4588266.6324522225;5828653.1827588
4587416.760797192;5821652.10934029
4587416.760797192;5821652.10934029
4587416.760797192;5821652.10934029
4587416.760797192;5821652.10934029
4601637.715357645;5832654.844343735
4601637.715357645;5832654.844343735
4598524.046137673;5823129.91504396
4598524.046137673;5823129.91504396
4590762.896205349;5822462.952391749
4590762.896205349;5822462.952391749
4590762.896205349;5822462.952391749
4590762.896205349;5822462.952391749
4592504.0395089835;5822397.780965761
4592504.0395089835;5822397.780965761
4595576.662410886;5822746.728834235
4595576.662410886;5822746.728834235
4595576.662410886;5822746.728834235
4593128.231700743;5813764.564672801
4593128.231700743;5813764.564672801
4600750.409839;5820020.291851113
4600750.409839;5820020.291851113
4600750.409839;5820020.291851113
4602620.190439757;5819835.098443462
4602620.190439757;5819835.098443462
4582029.408726933;5824545.528344755
4582029.408726933;5824545.528344755
4591500.8668055115;5822195.439416666
4591500.8668055115;5822195.439416666
4590506.928091713;5821646.91783869
4590506.928091713;5821646.91783869
4597575.453131061;5818536.945134341
4597575.453131061;5818536.945134341
4601451.395249604;5835197.930893284
4601451.395249604;5835197.930893284
4597095.02564612;5821210.597667841
4597095.02564612;5821210.597667841
4597095.02564612;5821210.597667841
4600076.05793319;5812681.325923982
4600076.05793319;5812681.325923982
4602342.67995055;5809580.441419882
4602342.67995055;5809580.441419882
4593850.431348359;5809953.054133972
4593850.431348359;5809953.054133972
4593850.431348359;5809953.054133972
4592242.658011374;5821917.807898859
4592242.658011374;5821917.807898859
4592242.658011374;5821917.807898859
4596467.048601873;5820061.243649954
4596467.048601873;5820061.243649954
4600376.142723925;5833138.735897496
4600376.142723925;5833138.735897496
4595906.111802626;5820882.003339259
4595906.111802626;5820882.003339259
4587532.736885447;5821448.957849523
4587532.736885447;5821448.957849523
4592512.07331853;5824598.563154273
4592512.07331853;5824598.563154273
4590194.056013884;5817801.560022352
4590194.056013884;5817801.560022352
4590194.056013884;5817801.560022352
4590194.056013884;5817801.560022352
4593297.84097314;5818673.7849215465
4593297.84097314;5818673.7849215465
4593297.84097314;5818673.7849215465
4600422.182307281;5825111.159588716
4600422.182307281;5825111.159588716
4600422.182307281;5825111.159588716
4596945.413304115;5822194.03245384
4596945.413304115;5822194.03245384
4592662.208807965;5829144.4420579765
4592662.208807965;5829144.4420579765
4599122.260174995;5823200.483599139
4599122.260174995;5823200.483599139
4595064.333378874;5821920.241225767
4595064.333378874;5821920.241225767
4595553.111239577;5820530.6750804065
4595553.111239577;5820530.6750804065
4604070.087649807;5809233.7146148095
4604070.087649807;5809233.7146148095
4596027.777348183;5820500.427297478
4596027.777348183;5820500.427297478
4596027.777348183;5820500.427297478
4596027.777348183;5820500.427297478
4602895.2990763355;5809861.703326376
4602895.2990763355;5809861.703326376
4598402.159156656;5821205.4286022
4598402.159156656;5821205.4286022
4585952.342420605;5820843.2860315265
4585952.342420605;5820843.2860315265
4585952.342420605;5820843.2860315265
4594146.932274959;5819308.545197858
4594146.932274959;5819308.545197858
4594681.263264746;5822907.814961484
4594681.263264746;5822907.814961484
4598221.36310833;5821091.796439036
4598221.36310833;5821091.796439036
4601526.716637079;5831534.5713881245
4601526.716637079;5831534.5713881245
4593640.53501907;5821358.281200638
4593640.53501907;5821358.281200638
4596757.55151091;5819549.212255321
4596757.55151091;5819549.212255321
4596757.55151091;5819549.212255321
4598149.159886505;5821626.744891131
4598149.159886505;5821626.744891131
4597395.100647965;5843342.935673882
4597395.100647965;5843342.935673882
4597291.352139374;5832689.458713175
4597291.352139374;5832689.458713175
4596205.320010194;5826570.172141099
4596205.320010194;5826570.172141099
4589743.922786977;5814547.812690929
4589743.922786977;5814547.812690929
4589743.922786977;5814547.812690929
4589743.922786977;5814547.812690929
4577025.345935161;5822465.85399567
4577025.345935161;5822465.85399567
4590463.651257243;5820053.835930166
4590463.651257243;5820053.835930166
4590463.651257243;5820053.835930166
4590463.651257243;5820053.835930166
4590463.651257243;5820053.835930166
4596385.815781871;5823208.226967427
4596385.815781871;5823208.226967427
4596575.16487686;5812922.166278381
4596575.16487686;5812922.166278381
4594636.650157816;5821147.481802095
4594636.650157816;5821147.481802095
4588506.883683719;5820844.271019934
4588506.883683719;5820844.271019934
4588506.883683719;5820844.271019934
4588506.883683719;5820844.271019934
4587767.857435242;5820410.976757721
4587767.857435242;5820410.976757721
4587767.857435242;5820410.976757721
4587767.857435242;5820410.976757721
4577778.4124779375;5813573.7669904735
4577778.4124779375;5813573.7669904735
4588584.319728836;5809421.799848585
4588584.319728836;5809421.799848585
4603123.66161108;5820376.018133343
4603123.66161108;5820376.018133343
4594197.592609204;5823265.765938154
4594197.592609204;5823265.765938154
4591139.947515115;5818461.904262395
4591139.947515115;5818461.904262395
4586343.042963306;5820842.79261277
4586343.042963306;5820842.79261277
4522511.906914209;5882144.608586414
4522511.906914209;5882144.608586414
4594826.936947443;5820945.908026723
4594826.936947443;5820945.908026723
4595030.733695237;5819536.271518325
4595030.733695237;5819536.271518325
4595030.733695237;5819536.271518325
4606871.057270132;5824493.298616293
4606871.057270132;5824493.298616293
4593493.903373736;5821946.050339913
4593493.903373736;5821946.050339913
4602713.520289433;5816966.266080497
4602713.520289433;5816966.266080497
4594812.957786881;5821803.196548169
4594812.957786881;5821803.196548169
4594812.957786881;5821803.196548169
4596567.963355419;5808521.99303838
4596567.963355419;5808521.99303838
4596567.963355419;5808521.99303838
4592570.621520246;5819989.096415742
4592570.621520246;5819989.096415742
4592570.621520246;5819989.096415742
4592570.621520246;5819989.096415742
4594962.617066406;5821630.097911268
4594962.617066406;5821630.097911268
4592542.283764333;5817471.946805696
4592542.283764333;5817471.946805696
4592542.283764333;5817471.946805696
4598038.749126143;5823780.300448796
4598038.749126143;5823780.300448796
4595070.231354622;5823714.988757859
4595070.231354622;5823714.988757859
4595070.231354622;5823714.988757859
4599871.138625301;5822256.274848718
4599871.138625301;5822256.274848718
4597798.754116764;5817481.337311956
4597798.754116764;5817481.337311956
4592082.497800226;5812649.933150198
4592082.497800226;5812649.933150198
4592934.033079056;5817779.404411354
4592934.033079056;5817779.404411354
4592934.033079056;5817779.404411354
4593777.369173317;5809690.002057881
4593777.369173317;5809690.002057881
4598401.539567307;5832210.906056129
4598401.539567307;5832210.906056129
4588896.301801386;5817799.683918463
4588896.301801386;5817799.683918463
4588896.301801386;5817799.683918463
4604701.925542587;5827435.73024193
4604701.925542587;5827435.73024193
4604701.925542587;5827435.73024193
4604701.925542587;5827435.73024193
4595358.2376555195;5812834.794622755
4595358.2376555195;5812834.794622755
4588135.889234148;5822489.685562986
4588135.889234148;5822489.685562986
4596931.966335455;5822040.841016586
4596931.966335455;5822040.841016586
4597833.606112025;5821002.385521261
4597833.606112025;5821002.385521261
4589799.314671769;5820091.497971537
4589799.314671769;5820091.497971537
4603212.552101476;5814526.012924734
4603212.552101476;5814526.012924734
4585504.639530855;5821568.685811183
4585504.639530855;5821568.685811183
4616787.674542463;5812376.681188872
4616787.674542463;5812376.681188872
4593307.405726658;5819172.982052211
4593307.405726658;5819172.982052211
4593307.405726658;5819172.982052211
4593307.405726658;5819172.982052211
4606514.800770584;5816988.655706139
4606514.800770584;5816988.655706139
4607759.150679884;5813014.517375427
4607759.150679884;5813014.517375427
4592276.6417175755;5829016.546526192
4592276.6417175755;5829016.546526192
4592276.6417175755;5829016.546526192
4597866.807970855;5824832.521082185
4597866.807970855;5824832.521082185
4597866.807970855;5824832.521082185
4597866.807970855;5824832.521082185
4597866.807970855;5824832.521082185
4600610.23393182;5818509.288665669
4600610.23393182;5818509.288665669
4589678.98743889;5796263.166370309
4589678.98743889;5796263.166370309
4601747.204250805;5824953.159823082
4601747.204250805;5824953.159823082
4597328.518406831;5823773.622703584
4597328.518406831;5823773.622703584
4597328.518406831;5823773.622703584
4597328.518406831;5823773.622703584
4599825.192975495;5819593.178364014
4599825.192975495;5819593.178364014
4577367.443820109;5822315.219065301
4577367.443820109;5822315.219065301
4593211.529705552;5801699.260073259
4593211.529705552;5801699.260073259
4594229.348234632;5820979.978652166
4594229.348234632;5820979.978652166
4583834.599761117;5822666.004751491
4583834.599761117;5822666.004751491
4593414.707547003;5820685.344861094
4593414.707547003;5820685.344861094
4593414.707547003;5820685.344861094
4593414.707547003;5820685.344861094
4595517.323153088;5821832.792676473
4595517.323153088;5821832.792676473
4595517.323153088;5821832.792676473
4587171.2735497;5823721.705888706
4587171.2735497;5823721.705888706
4587171.2735497;5823721.705888706
4593245.792694436;5827159.357381471
4593245.792694436;5827159.357381471
4590761.040777291;5821155.937595649
4590761.040777291;5821155.937595649
4590761.040777291;5821155.937595649
4590761.040777291;5821155.937595649
4590761.040777291;5821155.937595649
4598448.420641348;5820969.1443145955
4598448.420641348;5820969.1443145955
4589779.430384589;5818619.248404088
4589779.430384589;5818619.248404088
4591888.676923299;5822686.092933566
4591888.676923299;5822686.092933566
4591888.676923299;5822686.092933566
4591403.801136076;5824396.175244639
4591403.801136076;5824396.175244639
4591403.801136076;5824396.175244639
4596292.76928239;5823476.231863234
4596292.76928239;5823476.231863234
4596292.76928239;5823476.231863234
4596292.76928239;5823476.231863234
4597124.063433321;5825031.490815537
4597124.063433321;5825031.490815537
4597124.063433321;5825031.490815537
4608080.078608367;5824225.985859723
4608080.078608367;5824225.985859723
4608080.078608367;5824225.985859723
4588417.116641159;5829455.173091001
4588417.116641159;5829455.173091001
4588417.116641159;5829455.173091001
4580695.735171646;5824183.275783087
4580695.735171646;5824183.275783087
4580695.735171646;5824183.275783087
4580695.735171646;5824183.275783087
4586791.759626034;5823225.656444067
4586791.759626034;5823225.656444067
4594605.502464282;5823487.165604367
4594605.502464282;5823487.165604367
4594788.956026588;5823765.981942326
4594788.956026588;5823765.981942326
4594788.956026588;5823765.981942326
4598064.956661556;5832696.965766491
4598064.956661556;5832696.965766491
4598064.956661556;5832696.965766491
4598064.956661556;5832696.965766491
